STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,CURRENCY,Currency,BASE_PER,Base period,METHODOLOGY,Methodology,DECIMALS,Decimals,PRICE_BASE,Price base,ADJUSTMENT,Adjustment
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,USA,United States,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,2.93436092305279,,,,PA,Percent per annum,0,Units,,,2017,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,USA,United States,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,2.793187184646,,,,PA,Percent per annum,0,Units,,,2017,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,USA,United States,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,2.10633762606889,,,,PA,Percent per annum,0,Units,,,2017,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,USA,United States,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,1.95006403656728,,,,PA,Percent per annum,0,Units,,,2017,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,USA,United States,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,1.79896206247722,,,,PA,Percent per annum,0,Units,,,2017,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,GBR,United Kingdom,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,0.271650026159435,,,,PA,Percent per annum,0,Units,,,2023,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,GBR,United Kingdom,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,1.0395819435179,,,,PA,Percent per annum,0,Units,,,2023,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,GBR,United Kingdom,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,1.38270805800541,,,,PA,Percent per annum,0,Units,,,2023,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,GBR,United Kingdom,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,0.856495452084175,,,,PA,Percent per annum,0,Units,,,2023,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,GBR,United Kingdom,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,1.05867630943136,,,,PA,Percent per annum,0,Units,,,2023,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,OECD,OECD,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,1.75722353930983,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,OECD,OECD,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,1.75338162601241,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,OECD,OECD,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,1.79829027180338,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,OECD,OECD,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,1.54418983201363,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,OECD,OECD,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,1.67717849272553,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,EA17,Euro area (17 countries),GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,0.48331486810234,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,EA17,Euro area (17 countries),GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,0.863536765616161,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,EA17,Euro area (17 countries),GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,1.42319447528483,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,EA17,Euro area (17 countries),GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,0.830797572147262,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,EA17,Euro area (17 countries),GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,1.19168800578981,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,TUR,Türkiye,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,5.04512369372175,,,,PA,Percent per annum,0,Units,,,2009,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,TUR,Türkiye,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,3.32762310655848,,,,PA,Percent per annum,0,Units,,,2009,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,TUR,Türkiye,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,3.60462514838056,,,,PA,Percent per annum,0,Units,,,2009,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,TUR,Türkiye,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,3.0689337023161,,,,PA,Percent per annum,0,Units,,,2009,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,TUR,Türkiye,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,3.80086529933926,,,,PA,Percent per annum,0,Units,,,2009,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,BGR,Bulgaria,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,1.68151075832925,,,,PA,Percent per annum,0,Units,,,2020,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,BGR,Bulgaria,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,3.38708962009333,,,,PA,Percent per annum,0,Units,,,2020,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,BRA,Brazil,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,3.24165533138648,,,,PA,Percent per annum,0,Units,,,2000,,,,2,Two,,,,
