iso,year,IMF,OECD,EC
AUS,2026,2.009,1.947394,2.1
AUS,2027,1.698,1.844138,1.7
AUT,2026,0.682,0.728135,0.563137
AUT,2027,1.004,1.142657,0.878066
BEL,2026,0.661,0.7058,0.674229
BEL,2027,1.059,1.075519,0.940107
BGR,2026,2.773,2.541789,2.499417
BGR,2027,2.476,2.281928,2.190467
CAN,2026,1.5,1.156646,1.4
CAN,2027,1.896,1.686585,1.8
CHE,2026,1.342,1.12628,1.109927
CHE,2027,1.344,1.515547,1.302254
CZE,2026,2.234,1.854352,1.797272
CZE,2027,2.215,2.106072,2.429569
DEU,2026,0.791,0.655989,0.577031
DEU,2027,1.183,1.119752,0.885846
DNK,2026,2.0,2.5482,1.910401
DNK,2027,1.55,1.485796,1.753051
ESP,2026,2.09,2.191681,2.396194
ESP,2027,1.819,1.669902,1.949705
EST,2026,1.429,1.818407,1.60001
EST,2027,1.933,2.71699,1.749826
FIN,2026,1.047,0.831955,0.826734
FIN,2027,1.506,1.191965,1.37026
FRA,2026,0.858,0.651791,0.785791
FRA,2027,0.876,0.81528,1.128805
GBR,2026,0.797,0.856495,0.749323
GBR,2027,1.297,1.058676,1.165848
GRC,2026,1.802,1.876329,1.787579
GRC,2027,1.66,2.041748,1.595077
HRV,2026,2.638,2.649777,2.698347
HRV,2027,2.638,2.357212,2.452269
HUN,2026,1.662,1.553787,1.803724
HUN,2027,2.05,1.973045,2.099247
IRL,2026,2.516,-1.035451,-1.22062
IRL,2027,2.351,2.949622,3.4241
ISL,2026,1.902,1.592925,1.714016
ISL,2027,2.101,2.203456,2.382833
ITA,2026,0.521,0.530214,0.545487
ITA,2027,0.5,0.568855,0.596471
JPN,2026,0.719,0.609988,0.641001
JPN,2027,0.623,0.753397,0.587966
KOR,2026,1.862,2.630423,2.3
KOR,2027,2.124,1.941946,1.9
LTU,2026,2.912,2.840412,2.952943
LTU,2027,2.228,1.960584,2.058568
LUX,2026,1.592,0.730601,1.630106
LUX,2027,1.66,1.278414,2.023616
LVA,2026,2.218,1.886295,1.445903
LVA,2027,2.373,2.239313,1.553179
MEX,2026,1.639,0.806251,1.0
MEX,2027,2.186,1.794445,1.5
NLD,2026,1.233,0.978261,0.964738
NLD,2027,1.422,1.438916,1.11928
NOR,2026,1.475,1.308616,1.363101
NOR,2027,1.33,1.16943,1.046836
NZL,2026,2.131,1.40787,2.000002
NZL,2027,2.383,2.231345,2.399999
POL,2026,3.324,3.040987,3.469689
POL,2027,2.38,2.6221,2.756253
PRT,2026,1.93,1.759591,1.693079
PRT,2027,1.8,1.747085,1.818134
ROU,2026,0.694,-0.131538,0.147706
ROU,2027,2.452,2.528142,2.348729
SVK,2026,0.601,0.70774,0.807682
SVK,2027,1.649,1.578517,1.520319
SVN,2026,2.0,1.929074,1.939978
SVN,2027,2.1,2.234447,2.270009
SWE,2026,1.963,1.899048,1.760374
SWE,2027,1.906,2.543736,2.17023
TUR,2026,3.366,3.068934,2.971617
TUR,2027,3.472,3.800865,4.005117
USA,2026,2.324,1.950064,2.174506
USA,2027,2.1,1.798962,2.05459
