iso,year,owa,iowa_acc,iowa_rec,iowa_acc_swap23,order_acc,min_gap,min_gap_pct,diff_acc,diff_rec,swap_effect
AUS,2026,2.066,1.9885,1.9885,1.9744,OECD-EC-IMF,0.0791,10.6668,-0.0775,-0.0775,0.0141
AUS,2027,1.7981,1.7981,1.7981,1.7978,OECD-EC-IMF,0.0791,10.6668,0.0,0.0,0.0003
AUT,2026,0.7037,0.6047,0.6853,0.6118,EC-IMF-OECD,0.0904,5.4878,-0.099,-0.0184,0.0071
AUT,2027,1.0883,0.9295,1.0688,0.9509,EC-IMF-OECD,0.0904,5.4878,-0.1588,-0.0194,0.0214
BEL,2026,0.6947,0.6727,0.6947,0.6678,IMF-OECD-EC,0.0761,8.4643,-0.022,0.0,0.0049
BEL,2027,1.0605,1.0532,1.0422,1.0323,IMF-OECD-EC,0.0761,8.4643,-0.0074,-0.0184,0.0209
BGR,2026,2.696,2.5507,2.5507,2.593,OECD-EC-IMF,0.1149,7.0218,-0.1453,-0.1453,0.0422
BGR,2027,2.4068,2.2762,2.2762,2.3203,OECD-EC-IMF,0.1149,7.0218,-0.1306,-0.1306,0.0441
CAN,2026,1.4483,1.4107,1.2422,1.4483,IMF-OECD-EC,0.0012,0.0996,-0.0376,-0.206,0.0376
CAN,2027,1.8562,1.8387,1.7305,1.8562,IMF-OECD-EC,0.0012,0.0996,-0.0175,-0.1256,0.0175
CHE,2026,1.272,1.272,1.1401,1.2695,IMF-OECD-EC,0.0247,2.0286,0.0,-0.132,0.0025
CHE,2027,1.4575,1.3811,1.4511,1.3482,IMF-OECD-EC,0.0247,2.0286,-0.0764,-0.0064,0.0329
CZE,2026,2.1086,1.8465,1.872,1.9052,EC-OECD-IMF,0.0357,2.6547,-0.262,-0.2366,0.0586
CZE,2027,2.3524,2.3356,2.1914,2.3524,EC-OECD-IMF,0.0357,2.6547,-0.0168,-0.161,0.0168
DEU,2026,0.7416,0.7294,0.6484,0.7416,IMF-EC-OECD,0.0286,1.6104,-0.0122,-0.0932,0.0122
DEU,2027,1.1437,1.1076,1.0697,1.1437,IMF-EC-OECD,0.0286,1.6104,-0.0361,-0.074,0.0361
DNK,2026,2.3665,2.0237,2.3526,2.1222,IMF-EC-OECD,0.0484,2.364,-0.3428,-0.0138,0.0985
DNK,2027,1.6832,1.5927,1.5542,1.5515,IMF-EC-OECD,0.0484,2.364,-0.0905,-0.129,0.0413
ESP,2026,2.3228,2.1844,2.2317,2.2317,OECD-IMF-EC,0.0202,2.4014,-0.1384,-0.0911,0.0473
ESP,2027,1.8959,1.728,1.7482,1.7482,OECD-IMF-EC,0.0202,2.4014,-0.1679,-0.1477,0.0202
EST,2026,1.7349,1.535,1.7349,1.5013,IMF-OECD-EC,0.0164,0.333,-0.1999,0.0,0.0337
EST,2027,2.4526,2.1032,2.4243,1.9539,IMF-OECD-EC,0.0164,0.333,-0.3494,-0.0283,0.1493
FIN,2026,0.9782,0.8483,0.8483,0.8824,OECD-EC-IMF,0.1347,7.9937,-0.1298,-0.1298,0.034
FIN,2027,1.4482,1.2598,1.2598,1.2808,OECD-EC-IMF,0.1347,7.9937,-0.1884,-0.1884,0.021
FRA,2026,0.8241,0.8034,0.7003,0.8241,IMF-OECD-EC,0.0042,0.4555,-0.0207,-0.1237,0.0207
FRA,2027,1.0434,0.8824,0.8943,0.9308,IMF-OECD-EC,0.0042,0.4555,-0.1611,-0.1491,0.0484
GBR,2026,0.8337,0.8072,0.8263,0.7906,IMF-OECD-EC,0.4419,30.8774,-0.0265,-0.0074,0.0166
GBR,2027,1.2465,1.23,1.1035,1.2465,IMF-OECD-EC,0.4419,30.8774,-0.0165,-0.143,0.0165
GRC,2026,1.8515,1.7983,1.8493,1.8097,EC-IMF-OECD,0.0421,3.1783,-0.0532,-0.0022,0.0115
GRC,2027,1.915,1.647,1.9049,1.7059,EC-IMF-OECD,0.0421,3.1783,-0.268,-0.01,0.0589
HUN,2026,1.7498,1.7331,1.6217,1.7498,EC-OECD-IMF,0.2236,8.9192,-0.0167,-0.1281,0.0167
HUN,2027,2.0772,2.0654,2.0091,2.0772,EC-OECD-IMF,0.2236,8.9192,-0.0119,-0.0681,0.0119
IRL,2026,1.371,-0.871,-0.7885,-0.3226,EC-OECD-IMF,0.0034,0.0532,-2.242,-2.1595,0.5484
IRL,2027,3.2241,3.2241,3.0127,3.1317,EC-OECD-IMF,0.0034,0.0532,0.0,-0.2114,0.0924
ISL,2026,1.8323,1.6468,1.6468,1.6758,OECD-EC-IMF,0.0066,0.2054,-0.1855,-0.1855,0.029
ISL,2027,2.3174,2.2375,2.2375,2.194,OECD-EC-IMF,0.0066,0.2054,-0.0799,-0.0799,0.0435
ITA,2026,0.5399,0.5293,0.5331,0.5331,OECD-IMF-EC,0.0112,0.7605,-0.0106,-0.0068,0.0038
ITA,2027,0.5821,0.5549,0.5698,0.5698,OECD-IMF-EC,0.0112,0.7605,-0.0272,-0.0123,0.0149
JPN,2026,0.6916,0.6401,0.6262,0.6569,EC-OECD-IMF,0.1115,8.561,-0.0516,-0.0654,0.0168
JPN,2027,0.7091,0.6299,0.7036,0.6098,EC-OECD-IMF,0.1115,8.561,-0.0791,-0.0054,0.0201
KOR,2026,2.4894,2.4894,2.4894,2.4218,OECD-EC-IMF,0.0221,2.6703,0.0,0.0,0.0676
KOR,2027,2.0626,1.9469,1.9469,1.9815,OECD-EC-IMF,0.0221,2.6703,-0.1157,-0.1157,0.0346
LTU,2026,2.934,2.8984,2.8728,2.9158,IMF-OECD-EC,0.0249,1.538,-0.0356,-0.0612,0.0174
LTU,2027,2.1661,2.151,2.0056,2.1661,IMF-OECD-EC,0.0249,1.538,-0.0151,-0.1604,0.0151
LUX,2026,1.5475,1.5305,1.0136,1.3916,IMF-EC-OECD,0.353,10.6473,-0.017,-0.5338,0.1389
LUX,2027,1.8767,1.7147,1.4857,1.5996,IMF-EC-OECD,0.353,10.6473,-0.162,-0.391,0.1151
LVA,2026,2.0764,1.8094,1.8094,1.9286,OECD-EC-IMF,0.096,3.4483,-0.267,-0.267,0.1192
LVA,2027,2.2743,2.0881,2.0881,2.2147,OECD-EC-IMF,0.096,3.4483,-0.1862,-0.1862,0.1266
MEX,2026,1.4199,1.0189,0.9202,0.9202,OECD-IMF-EC,0.0355,2.965,-0.401,-0.4996,0.0987
MEX,2027,2.0373,1.8628,1.7569,1.7569,OECD-IMF-EC,0.0355,2.965,-0.1745,-0.2804,0.1059
NLD,2026,1.1509,1.1488,0.9959,1.1509,IMF-EC-OECD,0.0981,4.7251,-0.0021,-0.1549,0.0021
NLD,2027,1.4087,1.3519,1.362,1.4012,IMF-EC-OECD,0.0981,4.7251,-0.0569,-0.0467,0.0493
NOR,2026,1.4349,1.4265,1.3351,1.4349,IMF-OECD-EC,0.0181,1.7543,-0.0084,-0.0998,0.0084
NOR,2027,1.2689,1.2689,1.1536,1.2499,IMF-OECD-EC,0.0181,1.7543,0.0,-0.1153,0.0189
NZL,2026,2.0409,1.9825,1.607,1.8708,EC-IMF-OECD,0.2735,54.6892,-0.0584,-0.4339,0.1116
NZL,2027,2.3822,2.3822,2.2836,2.3588,EC-IMF-OECD,0.2735,54.6892,0.0,-0.0986,0.0234
POL,2026,3.4002,3.2691,3.1655,3.3353,IMF-OECD-EC,0.056,4.0976,-0.1311,-0.2347,0.0662
POL,2027,2.6938,2.468,2.634,2.4887,IMF-OECD-EC,0.056,4.0976,-0.2258,-0.0598,0.0207
PRT,2026,1.8703,1.7545,1.7578,1.7282,EC-IMF-OECD,0.378,25.1429,-0.1158,-0.1125,0.0263
PRT,2027,1.808,1.808,1.7682,1.7998,EC-IMF-OECD,0.378,25.1429,0.0,-0.0398,0.0082
ROU,2026,0.4973,0.4542,0.002,0.4973,IMF-OECD-EC,0.0371,3.3481,-0.0431,-0.4953,0.0431
ROU,2027,2.4954,2.4615,2.4795,2.4338,IMF-OECD-EC,0.0371,3.3481,-0.0339,-0.0159,0.0277
SVK,2026,0.7672,0.6586,0.7226,0.6431,IMF-EC-OECD,0.0257,0.9619,-0.1086,-0.0446,0.0154
SVK,2027,1.6218,1.6128,1.5705,1.6218,IMF-EC-OECD,0.0257,0.9619,-0.009,-0.0513,0.009
SVN,2026,1.98,1.98,1.9375,1.9783,IMF-EC-OECD,0.2462,13.8564,0.0,-0.0425,0.0017
SVN,2027,2.2477,2.1512,2.2318,2.1457,IMF-EC-OECD,0.2462,13.8564,-0.0965,-0.0159,0.0055
SWE,2026,1.9313,1.8715,1.8715,1.9028,OECD-EC-IMF,0.0402,2.4914,-0.0598,-0.0598,0.0313
SWE,2027,2.4032,2.4032,2.4032,2.3625,OECD-EC-IMF,0.0402,2.4914,0.0,0.0,0.0408
TUR,2026,3.2635,3.0727,3.0702,3.0269,EC-IMF-OECD,0.1662,5.7237,-0.1908,-0.1933,0.0459
TUR,2027,3.9132,3.8624,3.8222,3.9132,EC-IMF-OECD,0.1662,5.7237,-0.0508,-0.091,0.0508
USA,2026,2.2581,2.1337,2.0337,2.1915,EC-OECD-IMF,0.011,0.5884,-0.1243,-0.2243,0.0577
USA,2027,2.0646,1.9979,1.884,2.0444,EC-OECD-IMF,0.011,0.5884,-0.0667,-0.1806,0.0465
