iso,IMF,OECD,EC,best,order_acc,min_gap,min_gap_pct
AUS,0.8991,0.7017,0.7808,OECD,OECD-EC-IMF,0.0791,10.6668
AUT,1.6022,1.6926,1.2097,EC,EC-IMF-OECD,0.0904,5.4878
BEL,0.8616,0.9377,1.0679,IMF,IMF-OECD-EC,0.0761,8.4643
BGR,1.6931,1.1243,1.5782,OECD,OECD-EC-IMF,0.1149,7.0218
CAN,0.4628,1.161,1.1622,IMF,IMF-OECD-EC,0.0012,0.0996
CHE,0.9165,1.2051,1.2298,IMF,IMF-OECD-EC,0.0247,2.0286
CZE,1.9588,1.364,1.3282,EC,EC-OECD-IMF,0.0357,2.6547
DEU,1.7627,1.8234,1.7914,IMF,IMF-EC-OECD,0.0286,1.6104
DNK,1.8122,2.073,2.0246,IMF,IMF-EC-OECD,0.0484,2.364
ESP,0.8519,0.8316,1.0,OECD,OECD-IMF-EC,0.0202,2.4014
EST,4.819,4.9041,4.9205,IMF,IMF-OECD-EC,0.0164,0.333
FIN,1.9269,1.6172,1.7519,OECD,OECD-EC-IMF,0.1347,7.9937
FRA,0.9099,0.9141,0.9426,IMF,IMF-OECD-EC,0.0042,0.4555
GBR,0.7621,1.2101,1.6519,IMF,IMF-OECD-EC,0.4419,30.8774
GRC,1.3453,1.9995,1.3033,EC,EC-IMF-OECD,0.0421,3.1783
HUN,2.6186,2.395,2.0312,EC,EC-OECD-IMF,0.2236,8.9192
IRL,6.4059,6.4025,6.1887,EC,EC-OECD-IMF,0.0034,0.0532
ISL,3.1947,2.9449,3.1881,OECD,OECD-EC-IMF,0.0066,0.2054
ITA,1.468,1.2464,1.4792,OECD,OECD-IMF-EC,0.0112,0.7605
JPN,1.3578,1.2463,1.0133,EC,EC-OECD-IMF,0.1115,8.561
KOR,0.8403,0.6637,0.8182,OECD,OECD-EC-IMF,0.0221,2.6703
LTU,1.3531,1.6096,1.6345,IMF,IMF-OECD-EC,0.0249,1.538
LUX,2.7464,3.4923,3.1393,IMF,IMF-EC-OECD,0.353,10.6473
LVA,2.8321,2.6396,2.7361,OECD,OECD-EC-IMF,0.096,3.4483
MEX,1.2157,1.1802,1.3964,OECD,OECD-IMF-EC,0.0355,2.965
NLD,2.0262,2.3299,2.1243,IMF,IMF-EC-OECD,0.0981,4.7251
NOR,1.0241,1.0422,1.6402,IMF,IMF-OECD-EC,0.0181,1.7543
NZL,0.637,1.3138,0.3634,EC,EC-IMF-OECD,0.2735,54.6892
POL,1.2111,1.3395,1.3956,IMF,IMF-OECD-EC,0.056,4.0976
PRT,1.6926,2.105,1.3145,EC,EC-IMF-OECD,0.378,25.1429
ROU,0.8441,1.091,1.1281,IMF,IMF-OECD-EC,0.0371,3.3481
SVK,2.6592,2.97,2.6849,IMF,IMF-EC-OECD,0.0257,0.9619
SVN,1.6535,2.3241,1.8997,IMF,IMF-EC-OECD,0.2462,13.8564
SWE,1.7148,1.5943,1.6345,OECD,OECD-EC-IMF,0.0402,2.4914
TUR,2.9867,3.4435,2.8205,EC,EC-IMF-OECD,0.1662,5.7237
USA,1.8727,1.8617,1.7012,EC,EC-OECD-IMF,0.011,0.5884
