iso,round,target,IMF,OECD,EC,actual
AUS,autumn2020,2021,2.952658,3.239341,4.600018,5.358
AUT,autumn2020,2021,4.646,1.384723,4.115938,4.923
BEL,autumn2020,2021,5.35176,4.68747,4.123905,6.254
BGR,autumn2020,2021,4.1,3.305528,2.564971,7.828
CAN,autumn2020,2021,5.175956,3.474306,4.030004,5.951
CHE,autumn2020,2021,3.581392,2.159376,3.705839,6.167
CZE,autumn2020,2021,5.117228,1.503733,3.130023,4.029
DEU,autumn2020,2021,4.184412,2.798972,3.516842,3.913
DNK,autumn2020,2021,3.5,1.80007,3.531543,6.499
ESP,autumn2020,2021,7.154171,4.995845,5.350854,6.683
EST,autumn2020,2021,4.5,3.424594,3.401442,8.255
FIN,autumn2020,2021,3.571969,1.535837,2.900169,2.676
FRA,autumn2020,2021,6.026068,6.027964,5.795266,6.795
GBR,autumn2020,2021,5.920651,4.200661,3.314035,8.543
GRC,autumn2020,2021,4.117469,0.897956,5.021237,8.654
HUN,autumn2020,2021,3.9,2.553821,3.957535,7.223
IRL,autumn2020,2021,4.942971,0.110734,2.947813,16.258
ISL,autumn2020,2021,4.107104,3.003667,3.117901,5.181
ITA,autumn2020,2021,5.240094,4.287482,4.051034,8.931
JPN,autumn2020,2021,2.321447,2.321838,2.728025,3.564
KOR,autumn2020,2021,2.871275,2.841103,2.700001,4.613
LTU,autumn2020,2021,4.063589,2.671608,2.961601,6.376
LUX,autumn2020,2021,5.85631,1.471568,3.915207,6.93
LVA,autumn2020,2021,5.2,2.40032,4.944457,6.943
MEX,autumn2020,2021,3.529771,3.558844,3.800019,6.048
NLD,autumn2020,2021,4.047435,0.822623,2.161324,6.278
NOR,autumn2020,2021,3.558851,3.234435,2.753372,4.143
NZL,autumn2020,2021,4.356416,2.733896,4.899974,5.511
POL,autumn2020,2021,4.599349,2.921948,3.342233,6.927
PRT,autumn2020,2021,6.5,1.717907,5.360661,5.559
ROU,autumn2020,2021,4.572828,2.013358,3.303942,5.587
SVK,autumn2020,2021,6.9,2.683805,4.71876,5.656
SVN,autumn2020,2021,5.2,3.440902,5.07018,8.417
SWE,autumn2020,2021,3.466512,3.273526,3.294316,5.226
TUR,autumn2020,2021,4.996951,2.91771,3.939941,11.811
USA,autumn2020,2021,3.078166,3.192021,3.737796,6.152
AUS,spring2021,2022,2.751738,3.433386,2.999976,4.208
AUT,spring2021,2022,4.0,4.238121,4.281465,5.331
BEL,spring2021,2022,3.090804,3.506138,3.671117,3.956
BGR,spring2021,2022,4.4,4.436827,4.651309,4.084
CAN,spring2021,2022,4.652673,3.753636,3.0,4.695
CHE,spring2021,2022,2.800029,2.883171,2.450214,3.594
CZE,spring2021,2022,4.290191,4.887218,4.433317,2.847
DEU,spring2021,2022,3.424315,4.408299,4.05477,1.807
DNK,spring2021,2022,2.85,2.906565,3.486775,0.444
ESP,spring2021,2022,4.70061,6.256647,6.777992,6.37
EST,spring2021,2022,4.2,4.970799,5.026254,-1.226
FIN,spring2021,2022,2.509418,2.68429,2.751701,0.763
FRA,spring2021,2022,4.217405,3.957313,4.211477,2.797
GBR,spring2021,2022,5.065583,5.52196,5.299041,5.15
GRC,spring2021,2022,5.000182,4.955854,5.956684,5.522
HUN,spring2021,2022,5.9,4.966223,5.482006,4.152
IRL,spring2021,2022,4.840495,5.128944,4.975987,7.511
ISL,spring2021,2022,3.568467,4.70852,3.94861,8.857
ITA,spring2021,2022,3.603919,4.387481,4.393459,4.821
JPN,spring2021,2022,2.525374,2.035067,2.528108,1.332
KOR,spring2021,2022,2.803152,2.834236,3.300003,2.728
LTU,spring2021,2022,3.216564,3.954472,3.931231,2.444
LUX,spring2021,2022,3.600225,2.793076,3.325255,-1.098
LVA,spring2021,2022,5.192674,5.621847,6.018459,1.909
MEX,spring2021,2022,3.001946,3.176884,2.399987,3.71
NLD,spring2021,2022,2.991015,3.734075,3.579049,5.007
NOR,spring2021,2022,3.994221,3.719684,2.216021,4.08
NZL,spring2021,2022,3.195463,3.778221,2.999991,2.616
POL,spring2021,2022,4.54281,4.740262,5.429477,5.255
PRT,spring2021,2022,4.8,4.935963,5.098879,6.986
ROU,spring2021,2022,4.800562,4.578499,4.858636,4.188
SVK,spring2021,2022,4.449736,5.16311,5.227924,0.545
SVN,spring2021,2022,4.514108,4.622166,5.077021,2.669
SWE,spring2021,2022,2.956947,3.409009,3.271845,1.255
TUR,spring2021,2022,3.498682,3.384002,4.223149,5.441
USA,spring2021,2022,3.515399,3.55558,3.841358,2.524
AUS,autumn2021,2022,4.13774,4.142973,2.999955,4.208
