iso,IMF_weo,OECD_weo,EC_weo,IMF_ameco,OECD_ameco,EC_ameco,best_weo,best_ameco,changed
AUS,0.8991,0.7017,0.7808,0.8572,0.6699,0.7536,OECD,OECD,False
AUT,1.6022,1.6926,1.2097,1.6023,1.6927,1.2098,EC,EC,False
BEL,0.8616,0.9377,1.0679,0.828,0.9042,1.0955,IMF,IMF,False
BGR,1.6931,1.1243,1.5782,1.6934,1.1245,1.5783,OECD,OECD,False
CAN,0.4628,1.161,1.1622,0.4627,1.1611,1.1623,IMF,IMF,False
CHE,0.9165,1.2051,1.2298,0.8945,1.1831,1.2276,IMF,IMF,False
CZE,1.9588,1.364,1.3282,1.9589,1.3639,1.3283,EC,EC,False
DEU,1.7627,1.8234,1.7914,1.7615,1.821,1.7889,IMF,IMF,False
DNK,1.8122,2.073,2.0246,1.8125,2.0733,2.0249,IMF,IMF,False
ESP,0.8519,0.8316,1.0,0.8518,0.8317,1.0001,OECD,OECD,False
EST,4.819,4.9041,4.9205,4.8191,4.9043,4.9206,IMF,IMF,False
FIN,1.9269,1.6172,1.7519,1.9271,1.6176,1.7521,OECD,OECD,False
FRA,0.9099,0.9141,0.9426,0.8872,0.8913,0.9922,IMF,IMF,False
GBR,0.7621,1.2101,1.6519,0.7622,1.21,1.652,IMF,IMF,False
GRC,1.3453,1.9995,1.3033,1.3454,1.9996,1.3034,EC,EC,False
HUN,2.6186,2.395,2.0312,2.6185,2.3949,2.031,EC,EC,False
IRL,6.4059,6.4025,6.1887,6.4061,6.4027,6.1889,EC,EC,False
ISL,3.1947,2.9449,3.1881,3.1948,2.9451,3.1882,OECD,OECD,False
ITA,1.468,1.2464,1.4792,1.4681,1.2465,1.4793,OECD,OECD,False
JPN,1.3578,1.2463,1.0133,1.358,1.2466,1.0136,EC,EC,False
KOR,0.8403,0.6637,0.8182,0.9121,0.7354,0.8899,OECD,OECD,False
LTU,1.3531,1.6096,1.6345,1.3829,1.6394,1.6297,IMF,IMF,False
LUX,2.7464,3.4923,3.1393,2.7459,3.4919,3.1388,IMF,IMF,False
LVA,2.8321,2.6396,2.7361,2.832,2.6396,2.736,OECD,OECD,False
MEX,1.2157,1.1802,1.3964,1.2157,1.1801,1.3963,OECD,OECD,False
NLD,2.0262,2.3299,2.1243,2.0249,2.3286,2.123,IMF,IMF,False
NOR,1.0241,1.0422,1.6402,1.0244,1.0424,1.6405,IMF,IMF,False
NZL,0.637,1.3138,0.3634,0.7136,0.6059,0.8698,EC,OECD,True
POL,1.2111,1.3395,1.3956,1.2115,1.3399,1.3958,IMF,IMF,False
PRT,1.6926,2.105,1.3145,1.6926,2.1049,1.3144,EC,EC,False
ROU,0.8441,1.091,1.1281,0.8444,1.0912,1.1283,IMF,IMF,False
SVK,2.6592,2.97,2.6849,2.6593,2.9702,2.685,IMF,IMF,False
SVN,1.6535,2.3241,1.8997,1.6537,2.3243,1.8998,IMF,IMF,False
SWE,1.7148,1.5943,1.6345,1.7146,1.5941,1.6343,OECD,OECD,False
TUR,2.9867,3.4435,2.8205,2.9868,3.4437,2.8206,EC,EC,False
USA,1.8727,1.8617,1.7012,1.8723,1.8614,1.7009,EC,EC,False
