iso,year,IMF,OECD,EC,owa_0.1,owa_0.2,owa_0.3,owa_0.4,owa_0.5,owa_0.6,owa_0.7,owa_0.8,owa_0.9,mean,spread,range,most_opt,most_pes
AUS,2026,2.009,1.9474,2.1,1.9605,1.9744,1.9889,2.0037,2.0188,2.0342,2.0499,2.066,2.0826,2.0188,0.0916,0.1526,EC,OECD
AUS,2027,1.698,1.8441,1.7,1.7021,1.7104,1.7211,1.7335,1.7474,1.7627,1.7795,1.7981,1.819,1.7474,0.0877,0.1461,OECD,IMF
AUT,2026,0.682,0.7281,0.5631,0.585,0.6047,0.6233,0.6409,0.6578,0.6739,0.6893,0.7037,0.717,0.6578,0.099,0.165,OECD,EC
AUT,2027,1.004,1.1427,0.8781,0.9036,0.9295,0.9556,0.9818,1.0082,1.0348,1.0614,1.0882,1.1153,1.0082,0.1588,0.2646,OECD,EC
BEL,2026,0.661,0.7058,0.6742,0.6641,0.6678,0.6718,0.676,0.6803,0.6849,0.6897,0.6947,0.7,0.6803,0.0269,0.0448,OECD,IMF
BEL,2027,1.059,1.0755,0.9401,0.9612,0.9793,0.9957,1.0108,1.0249,1.0379,1.0498,1.0605,1.0695,1.0249,0.0812,0.1354,OECD,EC
BGR,2026,2.773,2.5418,2.4994,2.5129,2.5318,2.5539,2.5783,2.6047,2.633,2.6633,2.696,2.7317,2.6047,0.1641,0.2736,IMF,EC
BGR,2027,2.476,2.2819,2.1905,2.2115,2.2355,2.2611,2.2881,2.3161,2.3452,2.3754,2.4068,2.4399,2.3161,0.1713,0.2855,IMF,EC
CAN,2026,1.5,1.1566,1.4,1.2015,1.2423,1.2806,1.3172,1.3522,1.3858,1.4179,1.4483,1.4762,1.3522,0.206,0.3434,IMF,OECD
CAN,2027,1.896,1.6866,1.8,1.7088,1.7305,1.752,1.7732,1.7942,1.815,1.8357,1.8562,1.8763,1.7942,0.1256,0.2094,IMF,OECD
CHE,2026,1.342,1.1263,1.1099,1.1184,1.1328,1.1504,1.1705,1.1927,1.2169,1.2433,1.272,1.3041,1.1927,0.1392,0.2321,IMF,EC
CHE,2027,1.344,1.5155,1.3023,1.314,1.3296,1.3473,1.3666,1.3873,1.4093,1.4326,1.4576,1.4847,1.3873,0.128,0.2133,OECD,EC
CZE,2026,2.234,1.8544,1.7973,1.8172,1.8465,1.8812,1.9198,1.9619,2.0072,2.0559,2.1085,2.1666,1.9619,0.262,0.4367,IMF,EC
CZE,2027,2.215,2.1061,2.4296,2.1306,2.1583,2.1877,2.2184,2.2502,2.2831,2.3171,2.3524,2.3894,2.2502,0.1941,0.3235,EC,OECD
DEU,2026,0.791,0.656,0.577,0.5943,0.6132,0.633,0.6536,0.6747,0.6964,0.7186,0.7416,0.7655,0.6747,0.1284,0.214,IMF,EC
DEU,2027,1.183,1.1198,0.8858,0.9281,0.9654,0.9999,1.0323,1.0629,1.0917,1.1188,1.1437,1.1659,1.0629,0.1783,0.2972,IMF,EC
DNK,2026,2.0,2.5482,1.9104,1.9404,1.9838,2.0348,2.0914,2.1529,2.219,2.2899,2.3665,2.4506,2.1529,0.3827,0.6378,OECD,EC
DNK,2027,1.55,1.4858,1.7531,1.5023,1.5228,1.5457,1.5703,1.5963,1.6237,1.6526,1.6832,1.7161,1.5963,0.1604,0.2673,EC,OECD
ESP,2026,2.09,2.1917,2.3962,2.113,2.1391,2.1668,2.1959,2.226,2.2571,2.2893,2.3228,2.358,2.226,0.1837,0.3062,EC,IMF
ESP,2027,1.819,1.6699,1.9497,1.6992,1.728,1.7565,1.7848,1.8129,1.8408,1.8684,1.8959,1.9231,1.8129,0.1679,0.2798,EC,OECD
EST,2026,1.429,1.8184,1.6,1.4644,1.5013,1.5389,1.5771,1.6158,1.655,1.6947,1.7349,1.776,1.6158,0.2336,0.3894,OECD,IMF
EST,2027,1.933,2.717,1.7498,1.8023,1.8723,1.9522,2.0396,2.1333,2.233,2.3391,2.4526,2.576,2.1333,0.5803,0.9672,OECD,EC
FIN,2026,1.047,0.832,0.8267,0.8333,0.846,0.8622,0.8809,0.9019,0.925,0.9503,0.9782,1.0095,0.9019,0.1322,0.2203,IMF,EC
FIN,2027,1.506,1.192,1.3703,1.2265,1.2598,1.2924,1.3245,1.3561,1.3873,1.418,1.4482,1.4777,1.3561,0.1884,0.314,IMF,OECD
FRA,2026,0.858,0.6518,0.7858,0.677,0.7003,0.7227,0.7443,0.7652,0.7855,0.8052,0.8241,0.8419,0.7652,0.1237,0.2062,IMF,OECD
FRA,2027,0.876,0.8153,1.1288,0.8325,0.8553,0.8813,0.9096,0.94,0.9723,1.0067,1.0434,1.0833,0.94,0.1881,0.3135,EC,OECD
GBR,2026,0.797,0.8565,0.7493,0.7592,0.7694,0.7797,0.7903,0.8009,0.8117,0.8226,0.8337,0.8449,0.8009,0.0643,0.1072,OECD,EC
GBR,2027,1.297,1.0587,1.1658,1.0807,1.1035,1.1267,1.1501,1.1738,1.1978,1.222,1.2465,1.2714,1.1738,0.143,0.2383,IMF,OECD
GRC,2026,1.802,1.8763,1.7876,1.792,1.7983,1.8055,1.8134,1.822,1.8311,1.841,1.8515,1.863,1.822,0.0533,0.0887,OECD,EC
GRC,2027,1.66,2.0417,1.5951,1.6164,1.647,1.6828,1.7225,1.7656,1.8119,1.8615,1.915,1.9737,1.7656,0.268,0.4467,OECD,EC
HRV,2026,2.638,2.6498,2.6983,2.6413,2.6457,2.6507,2.6562,2.662,2.6683,2.6749,2.6819,2.6896,2.662,0.0362,0.0603,EC,IMF
HRV,2027,2.638,2.3572,2.4523,2.3786,2.4027,2.4282,2.4549,2.4825,2.511,2.5405,2.5711,2.6032,2.4825,0.1685,0.2808,IMF,OECD
HUN,2026,1.662,1.5538,1.8037,1.5763,1.5998,1.6239,1.6483,1.6732,1.6983,1.7238,1.7498,1.7763,1.6732,0.15,0.2499,EC,OECD
HUN,2027,2.05,1.973,2.0992,1.9877,2.0016,2.015,2.028,2.0408,2.0532,2.0654,2.0773,2.0887,2.0408,0.0757,0.1262,EC,OECD
IRL,2026,2.516,-1.0355,-1.2206,-1.0951,-0.871,-0.5912,-0.2701,0.0866,0.4773,0.9034,1.371,1.8942,0.0866,2.242,3.7366,IMF,EC
IRL,2027,2.351,2.9496,3.4241,2.4675,2.5803,2.6911,2.8003,2.9082,3.0149,3.1203,3.2241,3.3259,2.9082,0.6439,1.0731,EC,IMF
ISL,2026,1.902,1.5929,1.714,1.6189,1.6468,1.6759,1.7057,1.7363,1.7676,1.7995,1.8323,1.8662,1.7363,0.1854,0.3091,IMF,OECD
ISL,2027,2.101,2.2035,2.3828,2.1235,2.1483,2.1743,2.2013,2.2291,2.2577,2.2871,2.3174,2.349,2.2291,0.1691,0.2818,EC,IMF
ITA,2026,0.521,0.5302,0.5455,0.523,0.5252,0.5275,0.5298,0.5322,0.5347,0.5373,0.5399,0.5426,0.5322,0.0147,0.0245,EC,IMF
ITA,2027,0.5,0.5689,0.5965,0.5127,0.5242,0.535,0.5453,0.5551,0.5645,0.5736,0.582,0.5899,0.5551,0.0579,0.0965,EC,IMF
