iso,year,n_support,lo_0.2,hi_0.2,med_0.2,width_0.2,lo_0.5,hi_0.5,med_0.5,width_0.5,lo_0.8,hi_0.8,med_0.8,width_0.8
AUS,2026,64,1.6462,2.9213,1.9081,1.2752,1.6815,3.1651,2.3364,1.4836,1.7147,3.3673,2.9054,1.6525
AUS,2027,64,1.3601,2.7309,1.6286,1.3709,1.4101,2.8937,2.065,1.4836,1.4695,3.0522,2.5658,1.5827
AUT,2026,64,-2.6251,1.5618,-0.9141,4.1869,-1.7872,1.7036,0.0636,3.4908,-1.2689,1.8852,1.1499,3.1541
AUT,2027,64,-2.2972,1.942,-0.5701,4.2392,-1.4367,2.0541,0.4141,3.4908,-0.9256,2.2285,1.4779,3.1541
BEL,2026,64,0.7709,1.9518,1.1691,1.1809,1.0038,1.9711,1.4737,0.9673,1.1074,2.1106,1.7837,1.0032
BEL,2027,64,1.0765,2.2741,1.511,1.1976,1.3483,2.3156,1.8183,0.9673,1.4753,2.4162,2.127,0.9409
BGR,2026,64,0.4004,2.5296,1.6695,2.1292,1.07,2.6996,2.0214,1.6296,1.7408,2.9158,2.3507,1.175
BGR,2027,64,0.1036,2.2404,1.3803,2.1367,0.7814,2.411,1.7328,1.6296,1.4663,2.6195,2.0615,1.1532
CAN,2026,64,0.6551,2.1092,1.1974,1.4541,0.889,2.3912,1.7188,1.5022,1.1334,2.7649,2.0446,1.6315
CAN,2027,64,1.1432,2.5372,1.6254,1.3939,1.331,2.8332,2.1608,1.5022,1.5413,3.1953,2.5201,1.654
CHE,2026,64,0.2404,1.9344,1.0371,1.6941,0.6786,2.0455,1.4462,1.3669,0.7945,2.1803,1.8645,1.3858
CHE,2027,64,0.4377,2.1767,1.2447,1.739,0.8731,2.24,1.6407,1.3669,1.0171,2.3532,2.0303,1.3361
CZE,2026,64,-1.5258,1.1235,-0.0121,2.6492,-0.9612,1.5335,0.3147,2.4947,-0.4355,1.8685,1.2725,2.304
CZE,2027,64,-1.3687,1.258,0.2947,2.6267,-0.6729,1.8218,0.6031,2.4947,-0.1161,2.2529,1.5262,2.369
DEU,2026,64,-2.7073,-0.5173,-1.9632,2.1899,-2.4773,-0.1383,-1.4722,2.3389,-2.1812,0.177,-0.5693,2.3582
DEU,2027,64,-2.3291,-0.1152,-1.622,2.2139,-2.0891,0.2499,-1.084,2.3389,-1.7599,0.5292,-0.148,2.2891
DNK,2026,64,-0.861,1.897,-0.0515,2.758,-0.4842,2.1439,0.7192,2.6281,-0.1302,2.7251,1.5343,2.8554
DNK,2027,64,-1.1802,1.0533,-0.5479,2.2336,-1.0408,1.5873,0.1627,2.6281,-0.92,2.1006,0.9914,3.0206
ESP,2026,64,1.3974,3.4002,2.1244,2.0027,1.7373,3.5672,2.6842,1.8299,2.1427,3.7979,3.231,1.6552
ESP,2027,64,1.0645,2.9711,1.7132,1.9066,1.3242,3.1541,2.2711,1.8299,1.6592,3.4012,2.8576,1.742
EST,2026,64,-4.5339,-2.914,-3.8701,1.6199,-4.3426,-2.246,-3.3969,2.0965,-4.1408,-1.6766,-2.9702,2.4642
EST,2027,64,-4.1802,-2.3458,-3.329,1.8345,-3.8251,-1.7285,-2.8794,2.0965,-3.5666,-0.9872,-2.2437,2.5794
FIN,2026,64,-2.0093,-0.6629,-1.2391,1.3463,-1.7351,-0.526,-1.0836,1.2091,-1.3869,-0.3376,-0.858,1.0493
FIN,2027,64,-1.5007,-0.1921,-0.8276,1.3086,-1.2809,-0.0718,-0.6294,1.2091,-0.9885,0.0739,-0.3915,1.0623
FRA,2026,64,-0.6745,1.3133,-0.2039,1.9878,-0.5665,1.576,0.3761,2.1425,-0.5311,1.8458,1.0522,2.3769
FRA,2027,64,-0.5074,1.3923,-0.0501,1.8997,-0.3917,1.7508,0.5509,2.1425,-0.3209,2.0973,1.2228,2.4182
GBR,2026,64,-0.3246,1.1243,0.6005,1.4489,0.1382,1.4556,0.8468,1.3174,0.5133,1.762,1.1122,1.2486
GBR,2027,64,0.0941,1.5471,0.8906,1.453,0.5111,1.8285,1.2197,1.3174,0.886,2.1347,1.4595,1.2486
GRC,2026,64,1.1084,2.5487,1.6696,1.4403,1.4015,2.7021,2.032,1.3006,1.4432,2.8512,2.3904,1.408
GRC,2027,64,0.9571,2.5976,1.5202,1.6405,1.3451,2.6458,1.9757,1.3006,1.5066,2.7223,2.4164,1.2156
HUN,2026,64,-2.3379,0.6958,-1.0406,3.0337,-1.6977,0.761,-0.3337,2.4588,-1.1698,0.84,0.3689,2.0097
HUN,2027,64,-1.9692,1.0975,-0.7094,3.0667,-1.3302,1.1286,0.0338,2.4588,-0.8011,1.1674,0.7564,1.9685
IRL,2026,64,-7.6674,1.6666,-5.1405,9.334,-6.5433,3.0114,-2.2478,9.5547,-5.6666,4.8409,0.8996,10.5076
IRL,2027,64,-4.5625,5.5338,-1.9173,10.0963,-3.7217,5.833,0.5738,9.5547,-3.5219,6.1292,3.5827,9.6511
ISL,2026,64,3.6418,6.0271,4.3918,2.3852,3.8555,6.4006,5.1496,2.5451,4.0217,6.8943,6.0091,2.8726
ISL,2027,64,4.1949,6.5755,4.9099,2.3807,4.3483,6.8934,5.6424,2.5451,4.5398,7.238,6.4873,2.6982
ITA,2026,64,-0.2529,1.2158,0.567,1.4687,0.0431,1.3629,0.9377,1.3198,0.4155,1.571,1.2061,1.1555
ITA,2027,64,-0.2199,1.258,0.6037,1.4779,0.066,1.3858,0.9606,1.3198,0.4411,1.57,1.2235,1.1289
JPN,2026,64,-1.3151,-0.3035,-0.7519,1.0115,-1.0349,-0.2134,-0.5749,0.8215,-0.7218,-0.135,-0.3823,0.5869
JPN,2027,64,-1.2443,-0.3301,-0.8174,0.9142,-1.0367,-0.2153,-0.5768,0.8215,-0.7689,-0.0642,-0.3933,0.7047
KOR,2026,64,0.8427,1.9576,1.4965,1.1149,1.2387,2.1701,1.7675,0.9314,1.5505,2.3753,2.1292,0.8248
KOR,2027,64,0.85,1.8072,1.2712,0.9572,0.9632,1.8946,1.492,0.9314,1.067,1.9854,1.7083,0.9183
LTU,2026,64,1.198,2.2867,1.4628,1.0888,1.2804,2.658,1.8051,1.3776,1.3106,3.0392,2.0578,1.7286
LTU,2027,64,0.3829,1.452,0.6373,1.0691,0.4611,1.8387,0.9857,1.3776,0.536,2.1957,1.3104,1.6597
LUX,2026,64,-3.7898,-0.4555,-2.8288,3.3343,-3.4574,0.0369,-1.8298,3.4943,-3.2077,0.5635,-0.7564,3.7712
LUX,2027,64,-3.368,-0.1506,-2.4728,3.2173,-3.121,0.3733,-1.4934,3.4943,-2.9223,0.8928,-0.4482,3.815
LVA,2026,64,-2.3356,-0.1103,-1.7334,2.2253,-1.8544,0.3148,-0.8565,2.1692,-1.3813,0.9087,-0.2564,2.2899
LVA,2027,64,-2.1663,0.0875,-1.5051,2.2539,-1.6493,0.5199,-0.6514,2.1692,-1.1834,1.1874,0.0297,2.3708
MEX,2026,64,1.3439,2.3937,1.6469,1.0497,1.3983,2.7281,2.063,1.3298,1.4558,3.2373,2.2658,1.7815
MEX,2027,64,1.9572,3.027,2.4401,1.0698,2.0767,3.4064,2.7414,1.3298,2.2164,3.8267,3.0227,1.6103
NLD,2026,64,-1.2784,2.6893,-0.114,3.9678,-1.0159,2.8164,0.8419,3.8323,-0.6985,3.0601,2.086,3.7586
