iso,year,n_support,lo_0.2,hi_0.2,med_0.2,width_0.2,lo_0.5,hi_0.5,med_0.5,width_0.5,lo_0.8,hi_0.8,med_0.8,width_0.8
AUS,2026,125,1.6852,3.4072,2.1098,1.722,1.8117,3.6131,2.5772,1.8015,1.9204,4.1127,3.069,2.1923
AUS,2027,125,1.3921,3.0525,1.8447,1.6604,1.5402,3.3417,2.3058,1.8015,1.6735,3.8435,2.7486,2.17
AUT,2026,125,-2.4904,1.6946,-0.5916,4.185,-1.5529,2.4284,0.5742,3.9813,-0.8591,3.414,1.3395,4.2731
AUT,2027,125,-2.1607,2.0337,-0.2081,4.1945,-1.2024,2.7789,0.9248,3.9813,-0.4757,3.7975,1.6992,4.2731
BEL,2026,125,0.8137,2.0094,1.3197,1.1958,1.0447,2.2009,1.6423,1.1562,1.2607,2.5726,1.949,1.312
BEL,2027,125,1.1149,2.3415,1.6876,1.2266,1.3892,2.5455,1.9868,1.1562,1.6285,2.8739,2.2796,1.2453
BGR,2026,125,0.4292,3.9799,2.0932,3.5506,1.1874,5.6015,2.6951,4.4141,1.7677,7.0836,2.9158,5.3159
BGR,2027,125,0.1325,3.6907,1.8039,3.5582,0.8988,5.3129,2.4065,4.4141,1.4886,6.7873,2.6195,5.2987
CAN,2026,125,0.6745,2.4473,1.5059,1.7728,0.9871,2.9102,2.0095,1.9231,1.4023,3.3883,2.5451,1.986
CAN,2027,125,1.1628,2.8552,1.9138,1.6924,1.4291,3.3522,2.4515,1.9231,1.812,3.8766,2.9548,2.0647
CHE,2026,125,0.2835,2.7205,1.2526,2.437,0.7538,3.6137,1.9302,2.8598,1.1461,4.5192,2.1803,3.3732
CHE,2027,125,0.4637,2.7992,1.4491,2.3355,0.9484,3.8082,2.1247,2.8598,1.2967,4.8302,2.3532,3.5335
CZE,2026,125,-1.3502,1.5301,0.2051,2.8803,-0.6165,2.5561,0.9133,3.1726,-0.0429,3.6719,1.5384,3.7148
CZE,2027,125,-1.2437,1.6871,0.4266,2.9309,-0.3282,2.8444,1.2016,3.1726,0.4061,3.9913,1.8384,3.5852
DEU,2026,125,-2.5919,0.3682,-1.7263,2.9601,-2.3188,0.7712,-0.9849,3.09,-2.0642,1.3568,-0.0996,3.4209
DEU,2027,125,-2.2137,0.7464,-1.3536,2.9601,-1.9306,1.1594,-0.5967,3.09,-1.6429,1.7905,0.2443,3.4334
DNK,2026,125,-0.8207,3.1143,0.373,3.935,-0.3199,4.344,1.6562,4.6639,-0.0621,6.1777,2.7251,6.2398
DNK,2027,125,-1.1212,2.6833,-0.1286,3.8045,-0.8765,3.7874,1.0996,4.6639,-0.6722,5.3699,2.1006,6.0421
ESP,2026,125,1.4719,3.5131,2.1474,2.0412,1.8431,3.6875,2.7613,1.8444,2.1509,3.8274,3.3065,1.6765
ESP,2027,125,1.1389,3.1426,1.7581,2.0038,1.43,3.2744,2.3482,1.8444,1.6674,3.4012,2.9133,1.7338
EST,2026,125,-4.4617,-0.0549,-3.3639,4.4068,-4.1883,3.3291,-2.246,7.5175,-3.9952,5.7311,-1.6766,9.7264
EST,2027,125,-4.1424,0.6461,-2.905,4.7885,-3.6709,3.8466,-1.7285,7.5175,-3.4127,6.4205,-0.9872,9.8332
FIN,2026,125,-1.9337,-0.1796,-1.1144,1.7542,-1.5279,0.474,-0.8148,2.0019,-1.3149,1.3927,-0.3739,2.7076
